title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Operations,SBI Funds Management Limited,Kota,3 Months," 2,000 /month",Hiring since June 2022,16 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Free snacks & beverages",,4
Operations,Hungama Digital Media Entertainment Private Limited,Mumbai,3 Months," 5,000 /month",Hiring since November 2017,166 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Business Development (Sales),Decathlon,Noida,2 Months," 10,000 /month",Hiring since October 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",,15
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,3 Months," 5,000 /month",Hiring since November 2017,166 opportunities posted,"Certificate,Letter of recommendation,Informal dress code",,2
Graphic Design,Hungama Digital Media Entertainment Private Limited,Mumbai,3 Months," 5,000 /month",Hiring since November 2017,166 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Adobe Photoshop,Adobe Premiere Pro,Canva,English Proficiency (Spoken),English Proficiency (Written),Final Cut Pro,Vector Dynamics",1
Full Stack Development (MERN Stack),IIT Bombay,Work From Home,6 Months," 2,500 /month",Hiring since November 2018,95 opportunities posted,"Certificate,Flexible work hours","Cloud Computing,DevOps,Firebase,Google Cloud Computing,MongoDB,Node.js,NoSQL,ReactJS,React Native,Redux,REST API,SQL",4
Content Writing,HT Media,Mumbai,6 Months," 3,500-5,000 /month",Hiring since October 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Copywriting,Creative Writing",2
Food and Beverages Department Operations,PVR Limited,Gurgaon,4 Months," 15,000 /month",Hiring since June 2022,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","MS-Excel,MS-Office",2
Marketing,Dainik Jagran INEXT,Kanpur,2 Months," 5,000 /month",Hiring since June 2022,2 opportunities posted,Certificate,"English Proficiency (Spoken),MS-Excel",2
Marketing,BYJUS The Learning App,Virar,6 Months," 16,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"English Proficiency (Spoken),Hindi Proficiency (Spoken)",8
Business Travel/Corporate Travel,Thomas Cook India Limited,Kurla,3 Months," 2,500 /month",Hiring since July 2022,9 opportunities posted,"Certificate,5 days a week","English Proficiency (Spoken),MS-Excel",3
Research Assistance (Truck Driving Simulator Using ETS2),IISC Bangalore CPDM,Bangalore,6 Months," 25,000 /month",Hiring since October 2022,4 opportunities posted,Informal dress code,"Adobe Photoshop,Blender 3D,Unity 3D,Unity Engine,Unreal Engine,Vector Dynamics",1
Operations,Nykaa Fashion,Mumbai,3 Months," 3,500 /month",Hiring since August 2022,2 opportunities posted,"Certificate,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",2
Human Resources (HR),Sportskeeda,Work From Home,3 Months," 6,000-8,000 /month",Hiring since January 2019,90 opportunities posted,Certificate,Recruitment,1
Human Resources (HR),FirstCry,Pune,3 Months," 5,000 /month",Hiring since September 2019,4 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written)",10
Human Resources (HR),Larsen & Toubro,Mumbai,6 Months," 5,000-20,000 /month",Hiring since July 2022,4 opportunities posted,"Certificate,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Word",10
Graphic Design,PVR Limited,Gurgaon,6 Months," 15,000 /month",Hiring since June 2022,6 opportunities posted,"Letter of recommendation,Flexible work hours,Informal dress code","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",2
Collections And Accounts Receivable,Delhivery Private Limited,Mumbai,6 Months," 15,000 /month",Hiring since July 2021,11 opportunities posted,"Certificate,Informal dress code,Job offer",,2
Marketing,UpGrad (UpGrad Education Private Limited),Mumbai,3 Months," 20,000 /month",Hiring since October 2021,20 opportunities posted,"Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",2
Human Resources (HR),Policy Bazaar,Faridabad,3 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Job offer","Canva,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",5
Human Resources (HR),WWF-India,Mumbai,3 Months," 7,000 /month",Hiring since March 2022,17 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Data Analysis - Real Estate Projects,Chai Point,Bangalore,3 Months," 12,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",MS-Excel,1
Store Fashion Consulting,Reliance Brands Limited,Hyderabad,6 Months," 16,000 /month",Hiring since December 2017,85 opportunities posted,"Certificate,Job offer",,5
Public Relations (PR),Great Learning,Work From Home,3 Months," 15,000-20,000 /month",Hiring since January 2020,28 opportunities posted,,,1
Business Development (Sales),Decathlon Sport India Private Limited,Noida,2 Months," 10,000 /month",Hiring since March 2021,12 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer",,10
Omni Sport Leadership - Mountain Sports,Decathlon Sports India,Thane,3 Months," 12,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Flexible work hours,Informal dress code,5 days a week",,10
Business Development (Sales),Decathlon Sports India,Hyderabad,2 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel",5
Digital Production Cum Editing,Entertainment Network India Limited (Times Group),Bangalore,4 Months," 35,000 /month",Hiring since November 2022,1 opportunity posted,"Informal dress code,5 days a week,Job offer",Video Editing,1
Business Development (Sales),Decathlon Sport India Private Limited,Hyderabad,2 Months," 10,000 /month",Hiring since June 2021,7 opportunities posted,Certificate,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",5
Graphic Design,Archies Lifestyle,Delhi,3 Months," 15,000-20,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Adobe After Effects,Adobe Photoshop,Adobe Premiere Pro",1
Sport Leadership,Decathlon Sports India,Mumbai,6 Months," 12,000-20,000 /month",Hiring since November 2021,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",MS-Excel,10
Content Writing,Aam Aadmi Party,Work From Home,3 Months,Unpaid,Hiring since September 2018,207 opportunities posted,,"Creative Writing,English Proficiency (Written),Hindi Proficiency (Written)",12
Social Media Manager,Aam Aadmi Party,Work From Home,3 Months,Unpaid,Hiring since September 2018,207 opportunities posted,Certificate,Social Media Marketing,10
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Mumbai,3 Months," 15,000 /month",Hiring since October 2021,20 opportunities posted,"Informal dress code,5 days a week","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Payroll Management,BookMyShow,Mumbai,4 Months," 7,500 /month",Hiring since August 2014,374 opportunities posted,"Certificate,Informal dress code,5 days a week","MS-Excel,Tally",2
Human Resources (HR),Godrej And Boyce Mfg. Company Limited,Mumbai,3 Months," 8,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Omni Sports Leadership (Skateboarding/Inline Skates),Decathlon Sports India Private Limited,Pune,3 Months," 5,000-10,000 /month",Hiring since August 2022,5 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Free snacks & beverages,Job offer","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Sales and Marketing",25
Omni Sports Leadership (Skateboarding/Skating),Decathlon Sport India Private Limited,Pune,2 Months," 5,000-10,000 /month",Hiring since March 2022,17 opportunities posted,"Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages","English Proficiency (Spoken),Sales and Marketing",20
Content Writing,Times Internet,Gurgaon,6 Months," 7,000-8,000 /month",Hiring since February 2022,54 opportunities posted,Certificate,,1
Marketing Trainee,Taylor & Francis India,Delhi,6 Months," 20,000-25,000 /month",Hiring since June 2019,35 opportunities posted,"Certificate,Flexible work hours,5 days a week","Digital Marketing,MS-Office",1
Merchandising (Accessories With Nykaa Fashion),Nykaa Fashion,Mumbai,3 Months," 5,000 /month",Hiring since September 2022,2 opportunities posted,"Certificate,Informal dress code","Fashion Designing,MS-Excel",2
Graphic Design,Nykaa,Mumbai,3 Months," 5,000 /month",Hiring since October 2022,3 opportunities posted,"Certificate,Informal dress code,5 days a week","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,Video Editing",1
Fundraising,CRY - Child Rights And YOU,Work From Home,1 Month,Unpaid,Hiring since November 2021,8 opportunities posted,"Certificate,Flexible work hours",,30
Graphic Design,Aam Aadmi Party,Work From Home,3 Months,Unpaid,Hiring since September 2018,207 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC",5
Store Fashion Consulting,Reliance Brands Limited,Delhi,6 Months," 16,000 /month",Hiring since December 2017,85 opportunities posted,"Certificate,Job offer",,5
Marketing,Aditya Birla Capital,Kolkata,3 Months," 2,000 /month +  Incentives",Hiring since November 2021,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,50
Business Development (Fitness/Dance/Yoga),Decathlon Sports India,Pune,3 Months," 5,000 /month",Hiring since April 2017,58 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer","English Proficiency (Spoken),English Proficiency (Written)",10
Booking Operations,Conde Nast India,Mumbai,3 Months," 3,500 /month",Hiring since August 2022,5 opportunities posted,,,1
Media & Public Relations (PR),PR Pundit,Gurgaon,2 Months," 5,000 /month",Hiring since November 2017,63 opportunities posted,"Certificate,5 days a week","Creative Writing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint",3
Content Writing,Acko General Insurance,Bangalore,3 Months," 10,000 /month",Hiring since July 2019,36 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Creative Writing,English Proficiency (Written),Social Media Marketing",2
Marketing,Rapido,Kolkata,3 Months," 15,000 /month",Hiring since September 2022,4 opportunities posted,5 days a week,"Digital Marketing,Operations",2
Business Development (Sales),Aditya Birla Capital,Kolkata,3 Months," 4,000-6,000 /month",Hiring since August 2020,23 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,20
Marketing,BYJU'S The Learning App,Villupuram,3 Months," 11,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,Certificate,,5
Telecalling (Human Resources),Muthoot Fincorp Limited,Mumbai,3 Months," 8,000 /month",Hiring since July 2022,3 opportunities posted,"Certificate,Letter of recommendation",,2
Operations,Archies Lifestyle,Delhi,3 Months," 20,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer",Content Marketing,1
Marketing,Think & Learn Private Limited (BYJU'S),Rajkot,2 Months," 11,000 /month +  Incentives",Hiring since June 2022,4 opportunities posted,"Certificate,Letter of recommendation,Job offer","Gujarati Proficiency (Spoken),Hindi Proficiency (Spoken)",8
Campus Ambassador,IIT Delhi,Work From Home,3 Months,Performance Based,Hiring since August 2018,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",Event Management,500
Graphic Design,Times Of India,Mumbai,6 Months," 15,000 /month",Hiring since February 2020,10 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW,MS-Excel,MS-Office,MS-PowerPoint,Video Editing",1
Merchandising,Snapdeal,Gurgaon,3 Months," 10,000 /month",Hiring since September 2022,9 opportunities posted,"Certificate,Letter of recommendation,5 days a week",,2
Human Resources (HR),L&T Technology Services,Bangalore,6 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,Informal dress code,,2
Human Resources (Off Role),Tata AIA Life Insurance,Mumbai,6 Months," 10,000-12,000 /month",Hiring since June 2022,3 opportunities posted,,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Youth For Nature Conservation Programme,WWF-India,Work From Home,4 Weeks,Unpaid,Hiring since March 2022,17 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Spoken),Sales and Marketing",20
Human Resources (HR),PhonePe Private Limited,Bangalore,3 Months," 25,000 /month",Hiring since February 2022,4 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Free snacks & beverages","English Proficiency (Spoken),MS-Excel,MS-Office",2
Business Development (Trekking Sport),Decathlon Sports India,Pune,3 Months," 5,000 /month",Hiring since April 2017,58 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",10
Human Resources (HR),Policy Bazaar,Gurgaon,6 Months," 15,000-17,000 /month",Hiring since August 2022,6 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Content Writing,Sportskeeda,Work From Home,3 Months," 5,000-10,000 /month",Hiring since January 2019,90 opportunities posted,Certificate,"Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",6
HR (Tech),Tata AIA Life Insurance,Mumbai,6 Months," 10,000 /month",Hiring since June 2022,3 opportunities posted,Certificate,,1
Human Resources (HR),Fashion TV India,Ghaziabad,3 Months," 7,000 /month",Hiring since February 2021,86 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Omni Sports Leader,Decathlon,Mumbai,3 Months," 12,000 /month",Hiring since June 2022,2 opportunities posted,"Flexible work hours,Informal dress code,5 days a week",,5
Database Validation,Confederation Of Indian Industry (CII),Chennai,2 Months," 8,000 /month",Hiring since October 2021,8 opportunities posted,Certificate,,2
Marketing,Reliance Industries Limited,Thane,3 Months," 10,000 /month",Hiring since October 2021,9 opportunities posted,"Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written)",1
Human Resources (HR),Muthoot Fincorp Limited,Mumbai,6 Months," 10,000 /month",Hiring since July 2022,3 opportunities posted,"Certificate,Letter of recommendation",Recruitment,1
Content Writing,Dr. A.P.J. Abdul Kalam Centre,Noida,3 Months," 5,000-12,000 /month",Hiring since November 2017,72 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",6
Business Development (Sales),Times Internet,Delhi,6 Months," 10,000 /month",Hiring since June 2022,3 opportunities posted,"Certificate,Letter of recommendation,5 days a week","Email Marketing,English Proficiency (Spoken),English Proficiency (Written)",10
Business Development (Sales),BYJU'S The Learning App,Delhi,6 Weeks," 28,500 /month",Hiring since November 2022,2 opportunities posted,Certificate,,50
Public Relations And Outreach,WWF-India,Delhi,3 Months," 6,000 /month",Hiring since March 2022,17 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Canva,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint,MS-Word",2
Human Resources (HR),MobiKwik,Gurgaon,3 Months," 20,000 /month",Hiring since July 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week",English Proficiency (Spoken),1
Marketing,Monster India,Noida,3 Months," 12,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Informal dress code,5 days a week","Content Writing,Creative Writing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",2
Business Development (Sales),Times Internet,Gurgaon,3 Months," 9,000-10,000 /month",Hiring since February 2022,54 opportunities posted,Certificate,,1
Teaching (Volunteering),Teach For India,Delhi,3 Months,Unpaid,Hiring since February 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",Teaching,4
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,2 Months," 3,000 /month +  Incentives",Hiring since March 2022,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer","English Proficiency (Spoken),MS-Excel",10
Marketing,Decathlon Sports India,Coimbatore,2 Months," 8,000 /month",Hiring since October 2022,4 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Digital Marketing,Social Media Marketing",10
Human Resources (HR),NIIT Foundation,Delhi,6 Months," 15,000 /month",Hiring since October 2022,2 opportunities posted,Certificate,"English Proficiency (Spoken),MS-Excel,MS-Word",2
Social Media Marketing,Saregama India Limited,Chennai,3 Months," 5,000-10,000 /month",Hiring since December 2021,16 opportunities posted,"Certificate,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",1
Content Writing,Economic Times Edge,Mumbai,3 Months," 5,000 /month",Hiring since January 2020,75 opportunities posted,"Certificate,Informal dress code,5 days a week","Blogging,Content Writing,Copywriting",3
Research,Teach For India,Hyderabad,2 Months," 4,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours","MS-Office,Research and Analytics",2
Marketing,Monster India,Bangalore,3 Months," 10,000-12,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,5 days a week","Content Writing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel",3
Business Development,BYJU'S The Learning App,Kalyan,3 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,,,5
Omni Sport,Decathlon Sports India,Delhi,2 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","MS-Excel,MS-PowerPoint",10
Business Development (Sales),MobiKwik,Delhi,3 Months," 20,000 /month",Hiring since July 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",English Proficiency (Spoken),20
Marketing,BYJU'S The Learning App,Chennai,6 Months," 21,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"Client Relationship,English Proficiency (Spoken),English Proficiency (Written),Tamil Proficiency (Spoken)",15
Human Resources (HR),Godrej And Boyce Mfg. Company Limited,Mumbai,3 Months," 2,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Event Management,Times Internet Limited,Noida,6 Months," 10,000 /month",Hiring since October 2022,3 opportunities posted,"Certificate,Informal dress code,5 days a week","English Proficiency (Spoken),Event Management,MS-Excel,MS-Office",2
Video Editing,IIT Bombay,Work From Home,6 Months," 1,000-2,000 /month",Hiring since December 2013,338 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe Premiere Pro,Video Editing",1
Content Writing,Times Internet,Delhi,6 Months," 7,000 /month",Hiring since May 2022,5 opportunities posted,,English Proficiency (Written),1
Operations,Hungama Digital Media Entertainment Private Limited,Mumbai,3 Months," 5,000 /month",Hiring since November 2017,166 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Software Project Management,IIT Bombay,Work From Home,6 Months," 1,000-2,000 /month",Hiring since December 2013,338 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),Hindi Proficiency (Written)",1
Project Planning (Spacebound),BookMyShow,Mumbai,6 Months," 7,500 /month",Hiring since August 2014,374 opportunities posted,"Certificate,Informal dress code,5 days a week","Event Management,MS-Office",1
Operations,CTD Solutions Private Limited,Work From Home,6 Months," 5,000 /month",Hiring since December 2021,9 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Photoshop,Content Marketing,Digital Marketing,Email Marketing,English Proficiency (Written),Facebook Marketing,Image Processing,Instagram Marketing,MS-Excel,MS-Word,Operations,Search Engine Marketing (SEM)",1
Marketing,SLV Housing Development Corporation,Bangalore,6 Months," 20,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Job offer","Digital Marketing,Social Media Marketing",2
Video Marketing/Editing,Across The Globe (ATG),Work From Home,6 Months," 3,000-5,000 /month",Hiring since January 2016,2331 opportunities posted,"Certificate,Flexible work hours","Adobe After Effects,Adobe Photoshop,Adobe Premiere Pro",10
Graphic Design,NbliK,Work From Home,2 Months," 3,000-5,000 /month",Hiring since October 2019,193 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Photoshop,Canva,English Proficiency (Spoken),English Proficiency (Written),Instagram Marketing,MS-Word,Social Media Marketing,Video Editing,Video Making",2
